date_time,heart_zone_id,total_minutes
2021-12-01T09:58,FAT_BURN,1
2021-12-01T09:59,FAT_BURN,1
2021-12-01T10:04,FAT_BURN,1
2021-12-01T10:14,FAT_BURN,1
2021-12-01T10:15,FAT_BURN,1
2021-12-01T10:32,FAT_BURN,1
2021-12-01T10:56,FAT_BURN,1
2021-12-01T10:57,FAT_BURN,1
2021-12-01T11:12,FAT_BURN,1
2021-12-01T11:13,FAT_BURN,1
2021-12-01T11:14,FAT_BURN,1
2021-12-01T11:15,FAT_BURN,1
2021-12-01T11:16,FAT_BURN,1
2021-12-01T11:17,FAT_BURN,1
2021-12-01T17:14,FAT_BURN,1
2021-12-01T17:20,FAT_BURN,1
2021-12-01T20:05,FAT_BURN,1
2021-12-01T20:41,FAT_BURN,1
2021-12-01T20:42,FAT_BURN,1
2021-12-01T20:45,FAT_BURN,1
2021-12-01T20:46,FAT_BURN,1
2021-12-01T23:06,FAT_BURN,1
2021-12-01T23:07,FAT_BURN,1
2021-12-01T23:16,FAT_BURN,1
2021-12-02T16:25,FAT_BURN,1
2021-12-02T16:26,FAT_BURN,1
2021-12-02T20:53,FAT_BURN,1
2021-12-02T20:54,FAT_BURN,1
2021-12-02T21:12,FAT_BURN,1
2021-12-02T21:13,FAT_BURN,1
2021-12-02T21:14,FAT_BURN,1
2021-12-02T21:15,FAT_BURN,1
2021-12-02T21:16,FAT_BURN,1
2021-12-02T21:59,FAT_BURN,1
2021-12-02T22:00,FAT_BURN,1
2021-12-02T22:01,FAT_BURN,1
2021-12-02T22:02,FAT_BURN,1
2021-12-02T22:03,FAT_BURN,1
2021-12-03T16:37,FAT_BURN,1
2021-12-03T17:26,FAT_BURN,1
2021-12-03T17:28,FAT_BURN,1
2021-12-03T17:29,FAT_BURN,1
2021-12-03T17:30,FAT_BURN,1
2021-12-03T17:31,FAT_BURN,1
2021-12-03T17:32,FAT_BURN,1
2021-12-03T17:33,FAT_BURN,1
2021-12-03T17:51,FAT_BURN,1
2021-12-03T17:52,FAT_BURN,1
2021-12-03T17:55,FAT_BURN,1
2021-12-03T19:58,FAT_BURN,1
2021-12-03T19:59,FAT_BURN,1
2021-12-03T20:00,FAT_BURN,1
2021-12-04T18:08,FAT_BURN,1
2021-12-04T18:09,FAT_BURN,1
2021-12-04T18:10,FAT_BURN,1
2021-12-04T18:11,FAT_BURN,1
2021-12-04T18:56,FAT_BURN,1
2021-12-04T18:57,FAT_BURN,1
2021-12-04T18:58,FAT_BURN,1
2021-12-04T20:46,FAT_BURN,1
2021-12-04T22:58,FAT_BURN,1
2021-12-04T22:59,FAT_BURN,1
2021-12-04T23:00,FAT_BURN,1
2021-12-06T12:57,FAT_BURN,1
2021-12-06T13:35,FAT_BURN,1
2021-12-06T13:36,FAT_BURN,1
2021-12-06T13:37,FAT_BURN,1
2021-12-06T13:49,FAT_BURN,1
2021-12-06T13:50,FAT_BURN,1
2021-12-06T13:53,FAT_BURN,1
2021-12-06T13:54,FAT_BURN,1
2021-12-06T13:55,FAT_BURN,1
2021-12-06T14:05,FAT_BURN,1
2021-12-06T14:06,FAT_BURN,1
2021-12-06T14:25,FAT_BURN,1
2021-12-06T14:26,FAT_BURN,1
2021-12-07T09:50,FAT_BURN,1
2021-12-07T09:52,FAT_BURN,1
2021-12-07T19:41,FAT_BURN,1
2021-12-07T19:42,FAT_BURN,1
2021-12-07T19:46,FAT_BURN,1
2021-12-07T19:47,FAT_BURN,1
2021-12-07T19:48,FAT_BURN,1
2021-12-07T19:50,FAT_BURN,1
2021-12-08T10:57,FAT_BURN,1
2021-12-08T10:58,FAT_BURN,1
2021-12-08T13:38,FAT_BURN,1
2021-12-08T13:39,FAT_BURN,1
2021-12-08T13:40,FAT_BURN,1
2021-12-08T21:01,FAT_BURN,1
2021-12-08T21:02,FAT_BURN,1
